Matricula,Carrera,Promedio
A15400,CARR84,76.928
A15401,CARR65,91.571
A15403,CARR98,76.9
A15404,CARR2,65.945
A15426,CARR60,93.193
A15428,CARR2,77.241
A15433,CARR66,84.035
A15436,CARR71,89.25
A15437,CARR85,73.516
A15440,CARR112,88.466
A15441,CARR66,93.608
A15443,CARR84,78.548
A15460,CARR85,92.947
A15461,CARR66,94
A15462,CARR72,92.421
A15463,CARR103,87.368
A15465,CARR64,86
A15466,CARR66,94.55
A15469,CARR86,66
A15470,CARR103,91.111
A15471,CARR54,81.473
A15472,CARR66,92.277
A15473,CARR84,86.722
A15474,CARR103,64.937
A15475,CARR98,91.7
A15476,CARR79,94.833
A15477,CARR63,91.571
A15486,CARR66,96
A15487,CARR103,95
A15488,CARR103,77.6
A15489,CARR103,95.333
A15490,CARR62,83.833
A15492,CARR54,95
A15493,CARR54,81.666
A15494,CARR103,89.333
A15516,CARR73,79.938
A15551,CARR62,83.275
A15576,CARR75,79.153
A15596,CARR76,76.969
A15603,CARR75,71.612
A15614,CARR88,81.803
A15619,CARR66,87.936
A15621,CARR103,74.928
A15622,CARR86,82.327
A15624,CARR66,88.267
A15625,CARR110,91.16
A15626,CARR66,88.193
A15627,CARR66,94.982
A15628,CARR85,82.416
A15629,CARR85,81.686
A15630,CARR62,84.593
A15631,CARR66,80.641
A15632,CARR99,83.695
A15634,CARR62,80.869
A15635,CARR60,83.511
A15636,CARR97,88.777
A15637,CARR84,79.692
A15638,CARR62,84.727
A15639,CARR103,76.97
A15640,CARR86,79.321
A15641,CARR63,74.56
A15642,CARR2,77.296
A15643,CARR86,80.4
A15644,CARR66,75.666
A15646,CARR107,93.636
A15647,CARR85,91
A15648,CARR99,91.5
A15650,CARR112,92.218
A15651,CARR103,88.696
A15652,CARR66,79.5
A15653,CARR112,73.555
A15654,CARR88,79.612
A15656,CARR103,78.562
A15657,CARR103,83.16
A15659,CARR86,94.187
A15660,CARR77,92
A15661,CARR85,85.6
A15662,CARR65,85.142
A15663,CARR88,91.263
A15666,CARR103,84.8
A15667,CARR66,68.2
A15668,CARR62,73.85
A15669,CARR97,84.333
A15670,CARR54,70.19
A15671,CARR85,86.9
A15672,CARR110,88.531
A15674,CARR62,92.526
A15675,CARR75,91.157
A15676,CARR61,72.888
A15677,CARR71,91.55
A15678,CARR103,88.578
A15682,CARR78,92.571
A15686,CARR62,90.714
A15688,CARR103,90
A15689,CARR84,92.571
A15692,CARR77,73.666
A15693,CARR62,90.166
A15695,CARR62,80.142
A16097,CARR99,74.579
A16115,CARR86,79.851
A16120,CARR85,81.981
A16270,CARR98,68.671
A16346,CARR103,72.589
A16397,CARR110,75.984
A16406,CARR2,66.909
A16592,CARR104,84.803
A16656,CARR99,72.632
A16676,CARR104,81.836
A16690,CARR112,78.653
A16741,CARR71,74.741
A16757,CARR103,78.718
A16835,CARR85,84.018
A16837,CARR66,90
A16838,CARR66,85.035
A16842,CARR112,81.436
A16855,CARR66,80.275
A16860,CARR110,87.803
A16865,CARR62,75.865
A16898,CARR84,76.092
A16903,CARR85,74.3
A16913,CARR66,80.703
A16914,CARR85,79.03
A16916,CARR84,78.641
A16917,CARR72,80.606
A16956,CARR84,83.859
A16958,CARR86,74.589
A16982,CARR42,77.584
A16983,CARR66,82.258
A16986,CARR66,86.196
A16991,CARR85,96.618
A16993,CARR42,85.945
A16995,CARR72,91.166
A16996,CARR62,90.964
A17019,CARR62,80.273
A17034,CARR63,79.45
A17035,CARR85,87.214
A17037,CARR71,81.236
A17038,CARR99,82.072
A17039,CARR103,81.804
A17041,CARR62,78.666
A17050,CARR62,74.176
A17051,CARR62,74.383
A17052,CARR66,73.862
A17053,CARR98,95.4
A17054,CARR99,79.944
A17055,CARR61,77.203
A17057,CARR71,79.263
A17058,CARR42,80.12
A17059,CARR62,77.217
A17060,CARR103,83.157
A17061,CARR98,89.236
A17062,CARR72,89.91
A17064,CARR62,82.365
A17066,CARR66,84.826
A17076,CARR62,76.844
A17077,CARR85,83.185
A17079,CARR62,78.283
A17081,CARR88,91.836
A17082,CARR98,80.66
A17083,CARR62,80.769
A17084,CARR66,79.83
A17086,CARR103,90.767
A17087,CARR98,81.982
A17088,CARR88,82.822
A17089,CARR2,87.319
A17091,CARR99,87.45
A17092,CARR84,81.55
A17093,CARR58,94.368
A17094,CARR71,76.511
A17095,CARR62,78.21
A17096,CARR99,87.421
A17098,CARR2,85.734
A17099,CARR71,79.875
A17102,CARR103,88.38
A17109,CARR103,80.523
A17110,CARR98,76.086
A17112,CARR2,89.489
A17116,CARR46,72.978
A17117,CARR97,81.526
A17118,CARR54,78
A17120,CARR85,82.826
A17127,CARR66,77.122
A17132,CARR99,74.491
A17140,CARR62,77.084
A17141,CARR73,76.701
A17147,CARR66,76.555
A17152,CARR62,83.323
A17154,CARR103,75.651
A17171,CARR112,72.21
A17176,CARR62,73.871
A17177,CARR112,72.666
A17179,CARR58,71.25
A17180,CARR61,79
A17184,CARR71,86.608
A17185,CARR85,91.697
A17186,CARR71,85.272
A17187,CARR85,77.9
A17188,CARR42,81.886
A17189,CARR98,77.355
A17190,CARR54,77.439
A17192,CARR66,86.916
A17193,CARR99,88.697
A17194,CARR62,90.888
A17195,CARR71,91.954
A17196,CARR103,93.159
A17197,CARR66,89.977
A17198,CARR42,89.391
A17199,CARR97,90.179
A17200,CARR62,86.348
A17201,CARR54,86.358
A17202,CARR62,89.6
A17203,CARR71,90.491
A17204,CARR103,88.078
A17205,CARR66,84.906
A17206,CARR71,82.847
A17207,CARR42,86.476
A17208,CARR62,75.642
A17210,CARR103,78.028
A17212,CARR2,85.657
A17213,CARR2,84.375
A17214,CARR99,82.79
A17215,CARR62,80.382
A17216,CARR42,80.037
A17217,CARR63,73.575
A17218,CARR66,83.148
A17219,CARR66,82.5
A17221,CARR62,91.194
A17223,CARR84,82.547
A17224,CARR63,65.611
A17226,CARR85,94.162
A17230,CARR88,91.903
A17231,CARR88,89.677
A17232,CARR62,80.488
A17236,CARR2,88.171
A17241,CARR97,88.725
A17243,CARR103,74.947
A17244,CARR103,76.466
A17245,CARR85,80.209
A17246,CARR85,82.142
A17247,CARR88,86
A17249,CARR66,85.52
A17250,CARR66,79.733
A17251,CARR42,90.395
A17253,CARR97,71.243
A17258,CARR42,89.674
A17264,CARR62,77.461
A17285,CARR110,74.378
A17287,CARR98,82.976
A17289,CARR63,74.135
A17294,CARR103,77.932
A17296,CARR62,77.041
A17297,CARR84,77.935
A17299,CARR99,73.67
A17300,CARR76,71.8
A17302,CARR66,83.87
A17305,CARR103,81.283
A17307,CARR103,89.767
A17308,CARR63,76.171
A17311,CARR63,75.09
A17313,CARR84,90.557
A17318,CARR66,75.937
A17319,CARR84,89
A17323,CARR84,76.394
A17325,CARR103,80.85
A17327,CARR65,88.5
A17328,CARR75,88.181
A17329,CARR62,85
A17330,CARR75,87.878
A17331,CARR99,83.633
A17333,CARR54,72.612
A17334,CARR97,84.428
A17335,CARR103,84.58
A17337,CARR85,82.708
A17338,CARR99,86.578
A17339,CARR62,85.354
A17340,CARR2,90.035
A17341,CARR84,86.741
A17343,CARR97,90.351
A17345,CARR66,91.424
A17346,CARR103,79.173
A17348,CARR97,79.629
A17349,CARR103,90.444
A17350,CARR112,86.35
A17351,CARR2,91.285
A17352,CARR97,85.617
A17354,CARR63,84.322
A17355,CARR53,74.478
A17356,CARR99,89.939
A17357,CARR61,84.428
A17358,CARR85,86.769
A17359,CARR85,80.193
A17360,CARR2,85
A17362,CARR66,61.666
A17367,CARR112,93.093
A17369,CARR103,82.555
A17370,CARR98,75.857
A17371,CARR42,92.741
A17372,CARR112,82.062
A17373,CARR63,76.733
A17375,CARR85,83.939
A17378,CARR2,47.461
A17379,CARR97,84.666
A17380,CARR54,77.437
A17381,CARR42,82.593
A17382,CARR97,91.275
A17383,CARR54,87.441
A17384,CARR62,69.967
A17386,CARR66,81.606
A17388,CARR66,78.557
A17389,CARR88,83.433
A17393,CARR62,82.333
A17395,CARR66,77.05
A17396,CARR66,79.37
A17400,CARR63,73.384
A17401,CARR2,73.3
A17402,CARR61,80.8
A17403,CARR53,71.615
A17404,CARR62,85.098
A17406,CARR76,78.646
A17407,CARR84,74.111
A17408,CARR42,83.283
A17409,CARR85,88.877
A17410,CARR62,79.257
A17412,CARR2,78.96
A17414,CARR98,83.612
A17418,CARR86,79.22
A17419,CARR98,78.034
A17420,CARR62,85.261
A17421,CARR62,81.14
A17423,CARR71,83.411
A17424,CARR66,75.028
A17425,CARR62,73.298
A17426,CARR42,77.827
A17427,CARR112,79.438
A17432,CARR112,92.285
A17434,CARR103,76.916
A17435,CARR85,86.32
A17436,CARR99,76.873
A17438,CARR62,74.312
A17440,CARR62,75.288
A17441,CARR66,80.388
A17443,CARR62,81.328
A17444,CARR88,86.838
A17445,CARR71,89.264
A17446,CARR71,85.381
A17450,CARR103,84.031
A17451,CARR85,92.285
A17452,CARR62,90.446
A17453,CARR62,88
A17457,CARR84,86.2
A17458,CARR112,89.263
A17460,CARR66,90.125
A17461,CARR103,82.066
A17462,CARR63,78.95
A17463,CARR99,86.619
A17465,CARR66,74
A17467,CARR54,87.761
A17468,CARR54,77.285
A17469,CARR66,82.1
A17470,CARR60,76.105
A17471,CARR43,75.111
A17472,CARR88,87.35
A17473,CARR61,78.55
A17474,CARR63,86.648
A17475,CARR62,75.5
A17476,CARR63,73.7
A17477,CARR63,79.75
A17478,CARR62,86.23
A17479,CARR54,83.05
A17480,CARR107,95.842
A17481,CARR42,95.263
A17482,CARR42,76.5
A17483,CARR42,79.666
A17484,CARR2,86.368
A17485,CARR99,78.941
A17486,CARR42,74.428
A17487,CARR99,89.285
A17488,CARR85,90.941
A17489,CARR88,74.615
A17491,CARR99,77
A17492,CARR112,82.357
A17493,CARR62,74.8
A17494,CARR103,83.888
A17496,CARR112,75.526
A17499,CARR84,84.448
A17500,CARR61,88.619
A17502,CARR85,78.684
A17503,CARR61,88
A17504,CARR62,72.3
A17505,CARR103,76.619
A17506,CARR103,75.888
A17507,CARR61,78.894
A17508,CARR2,76.684
A17509,CARR63,77.25
A17512,CARR72,81.263
A17513,CARR112,79.368
A17514,CARR2,85.263
A17517,CARR84,78.857
A17518,CARR71,91.153
A17519,CARR66,66.333
A17520,CARR61,84.576
A17521,CARR2,86.058
A17522,CARR88,81.75
A17523,CARR112,88.51
A17524,CARR62,79.153
A17525,CARR63,73.176
A17528,CARR61,84.435
A17529,CARR66,86.192
A17530,CARR84,10
A17531,CARR84,91.701
A17532,CARR88,93.563
A17533,CARR66,79.472
A17534,CARR60,78.75
A17535,CARR85,84.627
A17536,CARR71,92.627
A17537,CARR63,78.912
A17538,CARR66,76.529
A17541,CARR2,84.9
A17542,CARR66,96.711
A17543,CARR62,75.728
A17545,CARR66,83.962
A17546,CARR88,88.109
A17549,CARR103,84.95
A17551,CARR62,84.016
A17552,CARR42,91.157
A17553,CARR84,82.203
A17554,CARR103,73.938
A17555,CARR75,92.714
A17556,CARR76,90.762
A17557,CARR61,78.114
A17558,CARR85,80.126
A17559,CARR58,92.644
A17560,CARR42,82.448
A17561,CARR85,75.687
A17562,CARR63,76.411
A17563,CARR62,74.673
A17565,CARR112,77.34
A17566,CARR62,70.96
A17568,CARR63,69.416
A17571,CARR88,80.038
A17573,CARR85,68.789
A17575,CARR54,78.959
A17577,CARR85,85.428
A17580,CARR62,79.428
A17581,CARR54,76.857
A17584,CARR61,88.285
A17585,CARR71,73.142
A17586,CARR98,85.428
A17588,CARR62,80.76
A17591,CARR99,77.571
A17592,CARR103,97.428
A17593,CARR85,88
A17594,CARR2,87.666
A17596,CARR88,84.428
A17597,CARR103,91.714
A17598,CARR42,75.571
A17599,CARR97,89.571
A17600,CARR85,75.714
A17602,CARR88,92.285
A17603,CARR42,92.285
A17604,CARR2,91.142
A17605,CARR99,86.142
A17606,CARR63,86.428
A17607,CARR2,69.6
A17608,CARR98,80.142
A17609,CARR65,64.857
A17611,CARR54,75.285
A17612,CARR63,80.666
A17614,CARR79,86.714
A17618,CARR63,84.571
A17620,CARR85,79.714
A17622,CARR103,80.714
A17623,CARR71,88.571
A17624,CARR66,77.704
A17625,CARR62,67.6
A17627,CARR62,85.395
A17629,CARR54,68.666
A17630,CARR62,80.5
A17632,CARR112,74.285
A17634,CARR66,86.428
A17635,CARR66,78.818
A17636,CARR66,80.17
A17637,CARR66,79.023
A17638,CARR99,81.142
A17639,CARR66,87.844
A17640,CARR62,76.85
A17641,CARR62,76.763
A17642,CARR66,92.714
A17643,CARR62,80.611
A17645,CARR66,76.093
A17646,CARR66,84.022
A17649,CARR99,84.558
A17650,CARR84,92.523
A17651,CARR62,76.341
A17652,CARR66,78.142
A17653,CARR88,77.184
A17654,CARR62,79.027
A17655,CARR42,78.307
A17656,CARR66,77.704
A17658,CARR42,74.571
A17659,CARR98,76.35
A17660,CARR103,95.146
A17662,CARR103,80.78
A17665,CARR99,73.568
A17667,CARR99,87.444
A17668,CARR77,76.452
A17669,CARR84,74.902
A17671,CARR66,75.833
A17672,CARR112,85.55
A17674,CARR42,79.882
A17675,CARR112,85.272
A17677,CARR46,72.64
A17685,CARR58,86.741
A17686,CARR71,90.5
A17687,CARR73,78.161
A17689,CARR71,88.05
A18004,CARR66,80.855
A18041,CARR103,70.37
A18045,CARR62,70.291
A18120,CARR62,69.867
A18123,CARR75,74.954
A18135,CARR97,83.465
A18168,CARR97,94.947
A18180,CARR112,81.102
A18181,CARR66,82.885
A18184,CARR98,89.469
A18192,CARR63,74.224
A18193,CARR63,79.303
A18194,CARR84,80.537
A18195,CARR97,82.886
A18202,CARR42,94
A18203,CARR103,78.042
A18204,CARR62,81.859
A18208,CARR66,84.075
A18215,CARR85,78.225
A18222,CARR103,74.926
A18225,CARR73,71.954
A18228,CARR103,88.135
A18244,CARR62,70.257
A18249,CARR42,73.363
A18255,CARR63,74.037
A18257,CARR63,76.603
A18259,CARR61,72.973
A18260,CARR84,85.214
A18261,CARR71,83.418
A18262,CARR66,86.62
A18263,CARR112,84.828
A18264,CARR110,90.842
A18266,CARR54,84.084
A18267,CARR61,78.17
A18268,CARR99,79.8
A18269,CARR103,75.8
A18270,CARR54,90.45
A18272,CARR99,71.015
A18273,CARR54,82.278
A18274,CARR63,77.089
A18276,CARR42,84.741
A18277,CARR88,88.796
A18280,CARR97,77.226
A18281,CARR66,75.74
A18282,CARR63,84.508
A18287,CARR88,89.91
A18289,CARR46,86.894
A18292,CARR62,94.946
A18294,CARR66,86.551
A18301,CARR62,85.07
A18302,CARR76,90.446
A18303,CARR63,91.444
A18304,CARR62,84.529
A18305,CARR103,84
A18307,CARR62,94.508
A18316,CARR103,79.095
A18318,CARR65,87.016
A18319,CARR2,86.25
A18321,CARR85,77.728
A18322,CARR103,77.679
A18324,CARR62,82.649
A18325,CARR103,82.511
A18331,CARR42,83.609
A18333,CARR103,85.811
A18334,CARR42,74.816
A18335,CARR65,75.864
A18336,CARR98,90.581
A18339,CARR103,91.892
A18341,CARR85,74.625
A18343,CARR99,81.367
A18344,CARR88,84.272
A18347,CARR84,90.392
A18348,CARR85,86.888
A18349,CARR2,93.222
A18350,CARR104,97.148
A18351,CARR62,78.6
A18354,CARR110,92.181
A18355,CARR85,84.806
A18356,CARR76,73.666
A18357,CARR85,88.5
A18360,CARR66,70.385
A18362,CARR62,84.254
A18371,CARR62,77.661
A18374,CARR62,79.333
A18375,CARR112,80.423
A18378,CARR84,69.207
A18380,CARR66,91.656
A18381,CARR99,82.758
A18384,CARR99,81.847
A18385,CARR98,81.533
A18388,CARR71,89.583
A18389,CARR66,77.893
A18390,CARR54,69.755
A18391,CARR98,82.113
A18392,CARR84,67.115
A18393,CARR112,79.55
A18394,CARR62,85.934
A18395,CARR85,77.5
A18396,CARR97,91.756
A18397,CARR103,73.967
A18399,CARR61,80.743
A18401,CARR107,82.809
A18402,CARR84,89.565
A18406,CARR85,78.065
A18407,CARR99,76
A18408,CARR112,87.026
A18409,CARR86,66.636
A18412,CARR85,83.102
A18415,CARR103,73.648
A18416,CARR84,95.368
A18417,CARR64,92.85
A18418,CARR42,90.046
A18419,CARR88,91.916
A18420,CARR103,75.652
A18422,CARR63,80.828
A18426,CARR63,89.7
A18427,CARR42,83.84
A18428,CARR53,77.838
A18432,CARR97,85.035
A18433,CARR85,91.756
A18437,CARR84,84.088
A18438,CARR66,90.581
A18439,CARR85,87.692
A18440,CARR53,81.375
A18442,CARR112,52.916
A18444,CARR62,84.027
A18446,CARR84,88.166
A18447,CARR63,80.181
A18452,CARR104,88.541
A18453,CARR84,80.022
A18455,CARR97,84.428
A18459,CARR62,81.063
A18464,CARR75,81.285
A18465,CARR97,93.692
A18467,CARR63,73.054
A18471,CARR84,68.911
A18672,CARR86,70.289
A18712,CARR2,71.866
A18779,CARR2,76.029
A18790,CARR84,69.862
A18798,CARR2,85.428
A18803,CARR71,95.293
A18810,CARR107,88.66
A18811,CARR85,84.517
A18818,CARR84,79.187
A18820,CARR84,86.807
A18834,CARR98,83.603
A18836,CARR97,84.574
A18838,CARR103,90.127
A18839,CARR85,68.796
A18842,CARR62,87.352
A18843,CARR62,81.9
A18845,CARR88,91.098
A18846,CARR54,81.274
A18847,CARR62,90.907
A18848,CARR84,90.8
A18850,CARR71,80.738
A18853,CARR112,94.6
A18855,CARR54,77.559
A18856,CARR2,84.473
A18858,CARR84,91.454
A18859,CARR103,86.019
A18860,CARR63,88.849
A18861,CARR66,77.215
A18863,CARR71,79.169
A18866,CARR84,84.087
A18868,CARR66,82.728
A18870,CARR42,70.555
A18875,CARR65,72.724
A18876,CARR42,82.297
A18877,CARR65,72.032
A18878,CARR112,79.371
A18882,CARR112,82.487
A18883,CARR103,78.661
A18884,CARR54,81.133
A18885,CARR98,95
A18886,CARR60,92.636
A18887,CARR85,96.263
A18889,CARR85,87.857
A18890,CARR66,85.787
A18891,CARR103,89.395
A18892,CARR60,86.833
A18893,CARR85,87.275
A18894,CARR64,86.769
A18895,CARR63,86.568
A18896,CARR63,79.395
A18898,CARR97,90.704
A18899,CARR85,86.09
A18900,CARR60,94.594
A18902,CARR2,98.428
A18903,CARR63,80.578
A18904,CARR63,90.2
A18905,CARR66,79.5
A18907,CARR112,87.139
A18909,CARR112,91.666
A18911,CARR85,80.08
A18913,CARR66,80.764
A18914,CARR2,78.323
A18917,CARR84,86.451
A18918,CARR84,86.25
A18919,CARR63,87.934
A18923,CARR84,83.651
A18925,CARR62,71.714
A18926,CARR58,77.886
A18927,CARR84,85.421
A18928,CARR62,84
A18930,CARR84,73.794
A18931,CARR60,79.326
A18933,CARR58,73.793
A18934,CARR103,82.391
A18935,CARR84,74.108
A18936,CARR84,69.032
A18937,CARR86,79.567
A18939,CARR85,87.941
A18941,CARR84,89.354
A18942,CARR61,81.424
A18943,CARR42,76.328
A18946,CARR103,85.062
A18947,CARR108,86.275
A18949,CARR85,89.833
A18950,CARR71,86.166
A18951,CARR84,90.483
A18953,CARR99,90.322
A18954,CARR107,91.2
A18958,CARR42,94.1
A18959,CARR65,78.515
A18960,CARR85,81.967
A18961,CARR42,94.87
A18963,CARR84,86
A18965,CARR2,85.678
A18966,CARR85,82.87
A18967,CARR84,96.666
A18968,CARR84,88.062
A18969,CARR112,88.032
A18973,CARR85,91.424
A18974,CARR103,85.564
A18976,CARR85,83.333
A18977,CARR62,76.571
A18979,CARR85,86.848
A18982,CARR65,80.36
A18983,CARR99,91.714
A18986,CARR54,80.661
A18987,CARR58,82.156
A18989,CARR62,91.269
A18991,CARR97,85.129
A18992,CARR62,82.522
A18993,CARR85,85.833
A18995,CARR103,79.115
A18997,CARR84,77.615
A18998,CARR84,81.105
A18999,CARR88,92.941
A19000,CARR103,83.59
A19001,CARR66,89.118
A19002,CARR84,84.48
A19003,CARR73,73.807
A19004,CARR84,86.8
A19005,CARR112,93.625
A19006,CARR84,84.55
A19008,CARR99,82
A19010,CARR71,77.384
A19011,CARR103,89.631
A19012,CARR112,90.176
A19013,CARR62,86.684
A19014,CARR62,85.052
A19016,CARR79,76.2
A19017,CARR66,86.859
A19018,CARR72,91.316
A19019,CARR110,92.886
A19020,CARR103,85.666
A19022,CARR103,87.096
A19024,CARR103,84.245
A19025,CARR99,85.842
A19026,CARR112,93.937
A19027,CARR60,84.953
A19028,CARR103,82.702
A19030,CARR54,76.811
A19031,CARR112,80.282
A19032,CARR62,74.816
A19034,CARR85,83.166
A19035,CARR99,77.057
A19036,CARR103,78.931
A19039,CARR63,75.571
A19040,CARR79,79.857
A19041,CARR103,93.285
A19042,CARR72,86.285
A19043,CARR103,92.571
A19044,CARR85,89.142
A19045,CARR2,86.714
A19046,CARR54,72.9
A19048,CARR77,84.428
A19049,CARR96,78.714
A19050,CARR62,87
A19051,CARR85,89
A19052,CARR62,87.142
A19053,CARR54,90.166
A19054,CARR2,0
A19055,CARR53,89.5
A19056,CARR85,96.5
A19059,CARR54,79.428
A19060,CARR64,78
A19061,CARR98,93.571
A19065,CARR99,78.583
A19066,CARR54,84.571
A19067,CARR96,86.428
A19068,CARR84,79.333
A19069,CARR84,91
A19070,CARR73,85.146
A19071,CARR85,76.6
A19072,CARR66,73.21
A19073,CARR62,82.526
A19074,CARR85,89.357
A19075,CARR53,77.2
A19076,CARR85,87.428
A19077,CARR62,81.066
A19078,CARR112,78.885
A19079,CARR62,76.8
A19080,CARR84,93.857
A19081,CARR84,91.285
A19082,CARR103,80.725
A19098,CARR66,65.656
A19107,CARR86,94.24
A19108,CARR62,84.58
A19118,CARR85,94.166
A19119,CARR84,87.266
A19121,CARR103,79.068
A19122,CARR103,77.346
A19123,CARR72,83.866
A19126,CARR2,68.25
A19134,CARR42,97.157
A19138,CARR103,79.166
A19143,CARR54,68.428
A19146,CARR103,91.052
A19149,CARR62,79.47
A19150,CARR2,79.125
A19151,CARR54,73.812
A19152,CARR85,84.47
A19153,CARR62,79.941
A19156,CARR71,88.526
A19159,CARR47,77.333
A19160,CARR62,83.947
A19162,CARR42,88.777
A19164,CARR63,77.833
A19165,CARR66,78.75
A19166,CARR88,87.166
A19167,CARR2,74.4
A19168,CARR2,70.722
A19170,CARR53,84.333
A19173,CARR107,65.833
A19174,CARR71,87.5
A19176,CARR71,82.5
A19180,CARR79,84.666
A19181,CARR54,70.333
A19182,CARR86,76.333
A19250,CARR65,76.47
A19309,CARR103,83.863
A19310,CARR62,79.052
A19311,CARR114,75.924
A19721,CARR63,88.545
A19742,CARR54,77.191
A19744,CARR99,80.12
A19762,CARR112,72.651
A19813,CARR88,68.333
A19815,CARR103,77.477
A19837,CARR54,75.086
A19840,CARR75,73.303
A19848,CARR112,84.704
A19871,CARR88,90.237
A19881,CARR62,80.156
A19882,CARR99,66.695
A19884,CARR2,71.666
A19895,CARR62,83.224
A19896,CARR62,90.603
A19899,CARR66,87.31
A19900,CARR103,90.75
A19901,CARR88,90.892
A19902,CARR66,86.25
A19903,CARR84,82.875
A19904,CARR88,84.559
A19905,CARR54,78.939
A19910,CARR66,87.738
A19911,CARR88,88.538
A19922,CARR65,85.841
A19923,CARR97,79.535
A19924,CARR107,73.416
A19925,CARR86,84.087
A19926,CARR84,78
A19931,CARR58,91.473
A19933,CARR63,88.592
A19934,CARR98,87.859
A19935,CARR98,86.65
A19936,CARR61,78.875
A19937,CARR97,90.032
A19938,CARR62,81.965
A19939,CARR110,92.634
A19940,CARR42,92.549
A19943,CARR110,91.09
A19944,CARR42,88.803
A19945,CARR85,83.509
A19946,CARR85,82.727
A19947,CARR85,94.404
A19948,CARR54,84.235
A19949,CARR62,80.192
A19951,CARR112,84.303
A19953,CARR84,89.837
A19954,CARR85,67.423
A19955,CARR58,90.767
A19957,CARR54,75.636
A19958,CARR58,82.62
A19960,CARR86,90.442
A19961,CARR88,86.25
A19963,CARR103,86.219
A19965,CARR42,75.941
A19966,CARR62,84.772
A19968,CARR98,82.534
A19970,CARR2,82.71
A19972,CARR61,88.822
A19974,CARR62,87.258
A19975,CARR103,88.838
A19977,CARR60,83.6
A19978,CARR42,92.333
A19979,CARR97,89.477
A19980,CARR62,80.173
A19981,CARR84,77.656
